scenario_name,rule_type,threshold_value,original_trade_count,remaining_trade_count,filtered_out_trade_count,original_realized_pnl_usd,filtered_out_realized_pnl_usd,new_realized_pnl_usd,delta_vs_original_pnl_usd,excluded_tokens
exclude_hold_under_30s,exclude_hold_under_seconds,30,44,40,4,-178.2626952807300000000000001,-10.12553568306000000000000000,-168.1371595976699999999999999,10.1255356830600000000000002,
exclude_hold_under_60s,exclude_hold_under_seconds,60,44,37,7,-178.2626952807300000000000001,-27.26303975238000000000000000,-150.9996555283499999999999999,27.2630397523800000000000002,
exclude_hold_under_5m,exclude_hold_under_seconds,300,44,24,20,-178.2626952807300000000000001,-105.8335215505200000000000000,-72.42917373020999999999999994,105.8335215505200000000000002,
exclude_cost_basis_above_5_usd,exclude_cost_basis_above_usd,5,44,1,43,-178.2626952807300000000000001,-178.2626952807300000000000001,0.000000,178.2626952807300000000000001,
exclude_cost_basis_above_10_usd,exclude_cost_basis_above_usd,10,44,8,36,-178.2626952807300000000000001,-152.4944463445441707352166683,-25.76824893618582926478333172,152.4944463445441707352166684,
exclude_worst_1_trade,exclude_worst_n_trades,1,44,43,1,-178.2626952807300000000000001,-15.06242486716000000000000000,-163.2002704135700000000000001,15.0624248671600000000000000,
exclude_worst_3_trades,exclude_worst_n_trades,3,44,41,3,-178.2626952807300000000000001,-40.91834340675999999999999999,-137.3443518739700000000000001,40.9183434067600000000000000,
exclude_worst_5_trades,exclude_worst_n_trades,5,44,39,5,-178.2626952807300000000000001,-62.51904819595015539887179869,-115.7436470847798446011282012,62.5190481959501553988717989,
exclude_tokens_losing_more_than_3_usd,exclude_tokens_loss_above_usd,3,44,15,29,-178.2626952807300000000000001,-191.2865116887700000000000001,13.02381640804000000000000000,191.2865116887700000000000001,"24HqqUJLosxXeYGuzVTmiDcFcj554cDQUPJqXC6tpump,2t4EwQVz8f5qzxUBbY4ifDhBCKBKgr6nf2caPG3FRiSE,3FcbiTV2fgFHrQtPV91hderYtw5gtDthg5gy9MJ1pump,4d7hkcY3MGAmYRi1vYNaDwi9C5Sfvdi4FqWCiLhtpump,5y5EG74XyAQwBmYJsYp6Wt7tMqdEFRBa5xJTMNW4BAGS,6LdwhVdpLSMLWs9VfEefUQWmtdk3MXJwcDWe4Dqfpump,76hap4pCzcAzJmxAxHJbckzYKkN1rj67xW1ws8n5pump,7MokUEbY8YkSjkKUgXnBmjUQB67ADCKsG7BEimdBpump,8Ak4jBMfwdBxvze3DgDcieEBZCP2xjNxrTCfggmkpump,8sbrrb2Zitcut6LbTRd2i51MUo5CuRmGxSGqaeJibQXB,CMHnDJSb9Q3rGd629Bw7uwVFjrXUkB2d7NcBU8G3pump,Csdoc8vo3ryZ9tSiXxWYsZRTKCMmywG5pR8SC47Hab6B,FCSBSnydDwwsfhmN3LjL6oXX1Khki4yVod7v8oT5pump,FM7cEUqXbkV2dbUyENA82xMkduUkY1gpbJeMVPhhpump,Fs3GrN3xc8iC5iCPzGXVv7TJfYSRVq1joamAvq6Cpump,GHPSby2g1XRgf5TRG3RPE8Z3ARDRn2SUfB6XeQBTbonk,GQR6mBkGoQS4tV6eRtR3LWFz8PTWuMTr5K7V7x6Lpump,H4kk15sy2BwEKHT7yWjTKj1r8Dc6V3WuaN8PV6ZXpump,HFHMybtPneaeEMrgyuzNLhrxtUBV3MyUqJBr8sc8pump,Hxrn87ryK5vhx4PSrTytV2UZDevCk7VRdJGD2Dpopump"
exclude_tokens_losing_more_than_5_usd,exclude_tokens_loss_above_usd,5,44,20,24,-178.2626952807300000000000001,-181.4263603720500000000000000,3.163665091320000000000000012,181.4263603720500000000000001,"24HqqUJLosxXeYGuzVTmiDcFcj554cDQUPJqXC6tpump,2t4EwQVz8f5qzxUBbY4ifDhBCKBKgr6nf2caPG3FRiSE,3FcbiTV2fgFHrQtPV91hderYtw5gtDthg5gy9MJ1pump,5y5EG74XyAQwBmYJsYp6Wt7tMqdEFRBa5xJTMNW4BAGS,6LdwhVdpLSMLWs9VfEefUQWmtdk3MXJwcDWe4Dqfpump,7MokUEbY8YkSjkKUgXnBmjUQB67ADCKsG7BEimdBpump,8Ak4jBMfwdBxvze3DgDcieEBZCP2xjNxrTCfggmkpump,8sbrrb2Zitcut6LbTRd2i51MUo5CuRmGxSGqaeJibQXB,CMHnDJSb9Q3rGd629Bw7uwVFjrXUkB2d7NcBU8G3pump,Csdoc8vo3ryZ9tSiXxWYsZRTKCMmywG5pR8SC47Hab6B,FM7cEUqXbkV2dbUyENA82xMkduUkY1gpbJeMVPhhpump,Fs3GrN3xc8iC5iCPzGXVv7TJfYSRVq1joamAvq6Cpump,GHPSby2g1XRgf5TRG3RPE8Z3ARDRn2SUfB6XeQBTbonk,GQR6mBkGoQS4tV6eRtR3LWFz8PTWuMTr5K7V7x6Lpump,H4kk15sy2BwEKHT7yWjTKj1r8Dc6V3WuaN8PV6ZXpump,HFHMybtPneaeEMrgyuzNLhrxtUBV3MyUqJBr8sc8pump,Hxrn87ryK5vhx4PSrTytV2UZDevCk7VRdJGD2Dpopump"
exclude_tokens_losing_more_than_10_usd,exclude_tokens_loss_above_usd,10,44,30,14,-178.2626952807300000000000001,-124.1900737145000000000000000,-54.07262156622999999999999998,124.1900737145000000000000001,"24HqqUJLosxXeYGuzVTmiDcFcj554cDQUPJqXC6tpump,3FcbiTV2fgFHrQtPV91hderYtw5gtDthg5gy9MJ1pump,7MokUEbY8YkSjkKUgXnBmjUQB67ADCKsG7BEimdBpump,8Ak4jBMfwdBxvze3DgDcieEBZCP2xjNxrTCfggmkpump,8sbrrb2Zitcut6LbTRd2i51MUo5CuRmGxSGqaeJibQXB,Csdoc8vo3ryZ9tSiXxWYsZRTKCMmywG5pR8SC47Hab6B,FM7cEUqXbkV2dbUyENA82xMkduUkY1gpbJeMVPhhpump,HFHMybtPneaeEMrgyuzNLhrxtUBV3MyUqJBr8sc8pump,Hxrn87ryK5vhx4PSrTytV2UZDevCk7VRdJGD2Dpopump"
